date,home_team,away_team,home_score,away_score,tournament,neutral,year,home_elo,away_elo,elo_diff,result
1911-10-22,Argentina,Uruguay,2.0,0.0,Copa Premio Honor Argentino,False,1911,1939.0,1922.0,17.0,home_win
1911-10-29,Germany,Sweden,1.0,3.0,Friendly,False,1911,1648.0,1691.0,-43.0,away_win
1911-10-29,Uruguay,Argentina,3.0,0.0,Copa Premio Honor Uruguayo,False,1911,1922.0,1939.0,-17.0,home_win
1912-01-28,France,Belgium,1.0,1.0,Friendly,False,1912,1562.0,1742.0,-180.0,draw
1912-02-18,France,Switzerland,4.0,1.0,Friendly,False,1912,1562.0,1515.0,47.0,home_win
1912-02-20,Belgium,Switzerland,9.0,2.0,Friendly,False,1912,1742.0,1515.0,227.0,home_win
1912-03-10,Belgium,Netherlands,1.0,2.0,Friendly,False,1912,1742.0,1977.0,-235.0,away_win
1912-03-23,Scotland,England,1.0,1.0,British Home Championship,False,1912,1873.0,2213.0,-340.0,draw
1912-03-24,Netherlands,Germany,5.0,5.0,Friendly,False,1912,1977.0,1689.0,288.0,draw
1912-04-28,Netherlands,Belgium,4.0,3.0,Friendly,False,1912,1977.0,1742.0,235.0,home_win
1912-05-05,Switzerland,Germany,1.0,2.0,Friendly,False,1912,1515.0,1689.0,-174.0,away_win
1912-06-16,Norway,Sweden,1.0,2.0,Friendly,False,1912,1374.0,1649.0,-275.0,away_win
1912-06-29,Austria,Germany,5.0,1.0,Olympic Games,True,1912,1827.0,1689.0,138.0,home_win
1912-06-29,Sweden,Netherlands,3.0,4.0,Olympic Games,False,1912,1649.0,1977.0,-328.0,away_win
1912-06-30,Netherlands,Austria,3.0,1.0,Olympic Games,True,1912,1977.0,1827.0,150.0,home_win
1912-07-01,Austria,Norway,1.0,0.0,Olympic Games,True,1912,1827.0,1374.0,453.0,home_win
1912-08-15,Uruguay,Argentina,2.0,0.0,Copa Lipton,False,1912,1935.0,1926.0,9.0,home_win
1912-08-25,Uruguay,Argentina,3.0,0.0,Copa Premio Honor Uruguayo,False,1912,1935.0,1926.0,9.0,home_win
1912-09-22,Argentina,Uruguay,0.0,1.0,Copa Premio Honor Argentino,False,1912,1926.0,1935.0,-9.0,away_win
1912-10-06,Argentina,Uruguay,3.0,3.0,Copa Newton,False,1912,1926.0,1935.0,-9.0,draw
1912-11-03,Sweden,Norway,4.0,2.0,Friendly,False,1912,1649.0,1374.0,275.0,home_win
1912-11-17,Germany,Netherlands,2.0,3.0,Friendly,False,1912,1689.0,1977.0,-288.0,away_win
1912-12-01,Uruguay,Argentina,1.0,3.0,Friendly,False,1912,1935.0,1926.0,9.0,away_win
1913-02-16,Belgium,France,3.0,0.0,Friendly,False,1913,1800.0,1587.0,213.0,home_win
1913-03-09,Belgium,Netherlands,3.0,3.0,Friendly,False,1913,1800.0,1943.0,-143.0,draw
1913-03-09,Switzerland,France,1.0,4.0,Friendly,False,1913,1504.0,1587.0,-83.0,away_win
1913-04-05,England,Scotland,1.0,0.0,British Home Championship,False,1913,2174.0,1867.0,307.0,home_win
1913-04-20,Netherlands,Belgium,2.0,4.0,Friendly,False,1913,1943.0,1800.0,143.0,away_win
1913-05-04,Switzerland,Belgium,1.0,2.0,Friendly,False,1913,1504.0,1800.0,-296.0,away_win
1913-05-18,Germany,Switzerland,1.0,2.0,Friendly,False,1913,1651.0,1504.0,147.0,away_win
1913-06-08,Sweden,Norway,9.0,0.0,Friendly,False,1913,1649.0,1379.0,270.0,home_win
1913-06-15,Argentina,Uruguay,1.0,1.0,Friendly,False,1913,1942.0,1921.0,21.0,draw
1913-07-09,Argentina,Uruguay,2.0,1.0,Friendly,False,1913,1942.0,1921.0,21.0,home_win
1913-08-15,Argentina,Uruguay,4.0,0.0,Copa Lipton,False,1913,1942.0,1921.0,21.0,home_win
1913-08-31,Argentina,Uruguay,2.0,0.0,Copa Premio Honor Argentino,False,1913,1942.0,1921.0,21.0,home_win
1913-10-05,Uruguay,Argentina,1.0,0.0,Copa Premio Honor Uruguayo,False,1913,1921.0,1942.0,-21.0,home_win
1913-10-26,Norway,Sweden,1.0,1.0,Friendly,False,1913,1379.0,1649.0,-270.0,draw
1913-10-26,Uruguay,Argentina,1.0,0.0,Copa Newton,False,1913,1921.0,1942.0,-21.0,home_win
1913-11-02,Belgium,Switzerland,2.0,0.0,Friendly,False,1913,1800.0,1504.0,296.0,home_win
1913-11-23,Belgium,Germany,6.0,2.0,Friendly,False,1913,1800.0,1651.0,149.0,home_win
1914-01-25,France,Belgium,4.0,3.0,Friendly,False,1914,1568.0,1752.0,-184.0,home_win
1914-03-08,France,Switzerland,2.0,2.0,Friendly,False,1914,1568.0,1505.0,63.0,draw
1914-03-15,Belgium,Netherlands,2.0,4.0,Friendly,False,1914,1752.0,1955.0,-203.0,away_win
1914-04-04,Scotland,England,3.0,1.0,British Home Championship,False,1914,1886.0,2073.0,-187.0,home_win
1914-04-05,Netherlands,Germany,4.0,4.0,Friendly,False,1914,1955.0,1659.0,296.0,draw
1914-04-26,Netherlands,Belgium,4.0,2.0,Friendly,False,1914,1955.0,1752.0,203.0,home_win
1914-06-28,Norway,Sweden,0.0,1.0,Friendly,False,1914,1377.0,1646.0,-269.0,away_win
1914-08-30,Uruguay,Argentina,3.0,2.0,Copa Premio Honor Uruguayo,False,1914,1918.0,1935.0,-17.0,home_win
1914-09-13,Argentina,Uruguay,2.0,1.0,Copa Premio Honor Argentino,False,1914,1935.0,1918.0,17.0,home_win
1914-09-20,Argentina,Brazil,3.0,0.0,Friendly,False,1914,1935.0,1910.0,25.0,home_win
1914-09-27,Argentina,Brazil,0.0,1.0,Copa Roca,False,1914,1935.0,1910.0,25.0,away_win
1914-10-25,Sweden,Norway,7.0,0.0,Friendly,False,1914,1646.0,1377.0,269.0,home_win
1915-06-27,Norway,Sweden,1.0,1.0,Friendly,False,1915,1377.0,1641.0,-264.0,draw
1915-07-18,Uruguay,Argentina,2.0,3.0,Copa Premio Honor Uruguayo,False,1915,1913.0,1940.0,-27.0,away_win
1915-08-15,Argentina,Uruguay,2.0,1.0,Copa Lipton,False,1915,1940.0,1913.0,27.0,home_win
1915-09-12,Uruguay,Argentina,2.0,0.0,Copa Newton,False,1915,1913.0,1940.0,-27.0,home_win
1915-10-24,Sweden,Norway,5.0,2.0,Friendly,False,1915,1641.0,1377.0,264.0,home_win
1916-07-02,Sweden,Norway,6.0,0.0,Friendly,False,1916,1663.0,1380.0,283.0,home_win
1916-07-10,Argentina,Brazil,1.0,1.0,Copa América,False,1916,1970.0,1888.0,82.0,draw
1916-07-12,Brazil,Uruguay,1.0,2.0,Copa América,True,1916,1888.0,1890.0,-2.0,away_win
1916-07-17,Argentina,Uruguay,0.0,0.0,Copa América,False,1916,1970.0,1890.0,80.0,draw
1916-07-18,Uruguay,Brazil,0.0,1.0,Friendly,False,1916,1890.0,1888.0,2.0,away_win
1916-08-15,Argentina,Uruguay,3.0,1.0,Copa Newton,False,1916,1970.0,1890.0,80.0,home_win
